1,cry,v.,to show sadness,He cries when he is sad.
2,drive,v.,to make a car move,He drives to work.
3,funny,adj.,causing to laugh,The dog looks funny.
4,hope,v.,to want something to happen,She hopes the sun comes out.
5,laugh,v.,to show how happy you are,Jan laughs a lot.
6,nice,adj.,kind,Mary is very nice.
7,smile,v.,to make a happy face,She always smiles.
8,strong,adj.,powerful,My uncle is very strong.
9,student,n.,a person who goes to school,The student has many books.
10,young,adj.,living only a short time so far,The young girl loves her grandma.
11,big,adj.,large,The red apple is big.
12,boy,n.,a young male,The boy is ten years old.
13,child,n.,a young boy or girl,The child plays in the sand.
14,have,adj.,to own something,She has a cat.
15,loud,adj.,making a lot of sound,The music is too loud.
16,story,n.,the events in a book,We read a story at bedtime.
17,swim,v.,to move through water using the arms and legs,He can swim.
18,today,adv.,on this day,What day is it today?
19,watch,v.,to look at something,They watch a movie.
20,worry,v.,to feel troubled about something,She always worries before a test.
,,,,
21,able,adj.,having enough skill to do something,She is able to swim.
22,alone,adj.,without others,She cries when she is alone.
23,animal,n.,a living thing that is not a plant or person,The boy watches the animal.
24,become,v.,to change or grow,The child wants to become a teacher.
25,call,v.,to shout,Dad calls my name.
26,catch,v.,to stop something and hold it with your hands,He catches the ball.
27,country,n.,the area outside of a town,The farm is in the country.
28,monkey,n.,a small animal with a long tail,The monkey is in the tree.
29,thin,adj.,having a small distance between the sides,The laptop is thin.
30,word,n.,letters put together that mean something,A story has many words.
31,baby,n.,a very young child,The baby cries a lot.
32,clean,v.,to remove dirt,She cleans the floor.
33,eat,v.,to chew and swallow food,The students eat lunch.
34,enjoy,v.,to like,She enjoys art class.
35,family,n.,a group of people who are related,My family is big.
36,fruit,n.,a food that grows on a tree or plant,She eats fruit every day.
37,jump,v.,to go quickly up then down,They jump into the water.
38,kind,n.,one of a group of common things,There are many kinds of apples.
39,man,n.,an adult male,The man laughs at the funny story.
40,parent,n.,a father or mother,Their parents are nice.
,,,,
41,address,n.,the words and numbers that direct an email or letter,My email address is fun54@yoohoo.com.
42,afternoon,n.,the middle part of the day,He cleans his car in the afternoon.
43,come,v.,to get to a place,Please come with me.
44,home,n.,a house or apartment,Their home has three bedrooms.
45,letter,n.,a message in writing,She often writes funny letters to her family.
46,lunch,n.,the middle meal of the day,She eats a sandwich for lunch every day.
47,make,v.,to cause to be,My parents make good pies.
48,need,v.,to have to get or have something,We need water to live.
49,people,n.,human beings,There are a lot of people here.
50,start,v.,to begin,The man starts to run.
51,cook,v.,to use heat to make food,Dad cooks dinner for us.
52,day,n.,one of the seven parts of a week,Which day do you have art class?
53,drink,v.,to put a liquid in your mouth and swallow it,What kind of juice do you want to drink?
54,front,n.,the forward part of something,The boy stands at the front of the classroom.
55,great,adj.,very good,Nick does a great job on tests!
56,play,v.,to do a sport or game,We are able to play soccer after school today.
57,see,v.,to notice with your eyes,He sees the baby smile.
58,send,v.,to cause something to go somewhere,I send about ten emails a day.
59,small,adj.,not large,Betty has a small dog.
60,time,n.,a certain minute or hour shown on a clock,What time is it now?
,,,,
61,again,adv.,another time,He needs to write the letter again.
62,bad,adj.,not good,The fruit is bad.
63,buy,v.,to pay for with money,She buys a small gift.
64,end,n.,the last part,Some people cry at the end of a movie.
65,find,v.,to look for and see something,He finds his lunch in the bag.
66,friend,n.,a person you enjoy being with,He plays baseball with his friends in the afternoon.
67,say,v.,to tell,Please say your address again.
68,speak,v.,to talk,The teacher speaks to the student.
69,sweet,adj.,having a lot of sugar,She likes to eat sweet snacks.
70,TRUE,adj.,correct,Is it true that you have a monkey?
71,answer,n.,what you say or write when someone asks a question,Karen is able to give the right answers.
72,learn,v.,to come to know,He learns how to make pizza.
73,like,v.,to enjoy,He likes to drink milk.
74,long,adj.,not short,That is a long word!
75,minute,n.,sixty seconds,Class starts in five minutes.
76,sing,v.,to make music with your voice,She sings a great song.
77,sit,v.,to rest on your bottom,The man sits under the tree.
78,star,v.,to have the main part in a movie or play,Beth stars in the play.
79,think,v.,to use the mind,He thinks about what to cook.
80,town,n.,a small city,Three hundred people live in this town.
,,,,
81,breakfast,n.,the first meal of the day,What time do you eat breakfast?
82,carry,v.,to move something as you hold it,She carries the animal to the car.
83,cheap,adj.,not needing a lot of money to buy,She buys cheap clothes.
84,count,v.,to say each number in order,He counts the people again.
85,cut,v.,to open or divide something with a knife,Lisa cuts fruit for her friends to eat.
86,early,adv.,before a set time; sooner than at other times,Rob gets up early on weekdays.
87,finish,v.,to end,They finish running.
88,flower,n.,the colorful part of a plant,She finds a red flower.
89,food,n.,"fruits, vegetables, meats, and other things people eat",This food is not sweet.
90,vegetable,n.,"a food that grows on a plant, often in a garden",My family likes to eat vegetables.
91,begin,v.,to start,The horses begin to run.
92,excuse,n.,a reason given for doing or not doing something,Her mother does not like her long excuse.
93,heavy,adj.,having a lot of weight,The bag is heavy.
94,market,n.,"a place where things are sold, often outside",She buys vegetables at the market in town.
95,meat,n.,a part of an animal that is eaten,He cuts the meat.
96,money,n.,coins or bills used to buy things,It is true. He has a lot of money!
97,put,v.,to move something to another place,She puts money in the piggy bank.
98,station,n.,a stopping place for buses or trains,She sits in the train station.
99,visit,v.,to go to see someone,She speaks English when she visits her friends.
100,yesterday,n.,the day before today,Yesterday was bad. She was alone all day.
,,,,
101,cold,adj.,not hot,It is very cold today.
102,dark,adj.,having little or no light,I cannot see well when it is dark.
103,dinner,n.,the last meal of the day,We eat a lot of food for dinner.
104,dish,n.,a plate or bowl,Where did you find this dish?
105,evening,n.,the early part of the night,They drive home in the evening.
106,sick,adj.,ill; not well,He goes to bed early because he is sick.
107,snowy,adj.,having a lot of snow,It is snowy by our home.
108,sugar,n.,something added to food to make it sweet,I do not put sugar on fruit.
109,tea,n.,a drink made with hot water and leaves,I like to drink tea.
110,world,n.,the earth and everything on it,We learn about the world in school.
111,hard,adj.,not easy,It is hard to carry the heavy box.
112,late,adj.,getting somewhere after a set time,He is late. I hope he has a good excuse!
113,life,n.,the time a person is alive,The man has a great life.
114,look,v.,to move the eyes to see,He looks at the flowers.
115,love,v.,to like a lot,Billy loves his dog.
116,night,n.,the time after evening when it is dark,The market is also open at night.
117,same,adj.,not different,I think the apples are the same size.
118,sleep,v.,to close your eyes and rest,He sleeps for a long time.
119,water,n.,the thing people drink and need to live,I need to drink more water.
120,weak,adj.,not strong,The rope is weak.
,,,,
121,fine,adj.,good,It is a fine day to go to the country.
122,give,v.,to let someone have something,He buys flowers and gives them to his friend.
123,help,v.,to make it easier for someone to do something,They give food to help people around the world.
124,hour,n.,sixty minutes,She slept for only one hour last night.
125,meet,v.,to come together,They meet for dinner in the evening.
